,place,name,year,runtime,genre,rating
240,241.,Mr. Smith Goes to Washington,(1939),129 min,"
Comedy, Drama            ","

8.1
"
241,242.,Gone with the Wind,(1939),238 min,"
Drama, History, Romance            ","

8.1
"
242,243.,It Happened One Night,(1934),105 min,"
Comedy, Romance            ","

8.1
"
243,244.,La passion de Jeanne d'Arc,(1928),110 min,"
Biography, Drama, History            ","

8.1
"
244,245.,The General,(1926),67 min,"
Action, Adventure, Comedy            ","

8.1
"
245,246.,Before Sunset,(2004),80 min,"
Drama, Romance            ","

8.0
"
246,247.,"Monsters, Inc.",(2001),92 min,"
Animation, Adventure, Comedy            ","

8.0
"
247,248.,Aladdin,(1992),90 min,"
Animation, Adventure, Comedy            ","

8.0
"
248,249.,The Terminator,(1984),107 min,"
Action, Sci-Fi            ","

8.0
"
249,250.,Butch Cassidy and the Sundance Kid,(1969),110 min,"
Biography, Crime, Drama            ","

8.0
"
